User Story DB,이름,마감 날짜,상태,작업 날짜,작업자,카테고리
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),벽 충돌 효과음 및 이펙트 추가,,시작 전,,,[이펙트 및 사운드]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),돌진 시작 사운드 및 효과음 추가,,시작 전,,,[이펙트 및 사운드]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),무력화 완료 후 모델링 변경 로직 구현,,시작 전,,,[로직 개발]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),패널 공격 성공 사운드 및 이펙트 추가,,시작 전,,,[이펙트 및 사운드]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),무력화 완료 사운드 및 효과음 추가,,시작 전,,,[이펙트 및 사운드]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),무력화 패널 노출 효과음 및 이펙트 추가,,시작 전,,,[이펙트 및 사운드]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),Rampage HP 및 데미지 밸런스 조정,,시작 전,,,[밸런스 조정 및 QA]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),쿠션 설치 전략 및 위치 밸런스 조정,,시작 전,,,[밸런스 조정 및 QA]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),실제 플레이 환경 QA 진행 및 밸런스 최적화,,시작 전,,,[밸런스 조정 및 QA]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 기본 모델링 제작,,완료,,,[모델링 및 리소스]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 점액 효과 모델링 및 텍스처링,,완료,,,[모델링 및 리소스]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 Idle 애니메이션 개발,,완료,,,[애니메이션 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 점액 효과 VFX 제작,,시작 전,,,[이펙트 및 사운드]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 Walk 애니메이션 개발,,완료,,,[애니메이션 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 Run Away 애니메이션 개발,,시작 전,,,[애니메이션 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 Cry(스트레스) 애니메이션 개발,,시작 전,,,[애니메이션 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 Die(제거됨) 애니메이션 개발,,시작 전,,,[애니메이션 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 Bump Wall 애니메이션 개발,,완료,,,[애니메이션 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 스트레스 시스템 로직 개발,,완료,,,[로직 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 기본 이동 로직(랜덤 방향 이동) 개발,,완료,,,[로직 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 스트레스 임계 시 목적지 길찾기 로직 개발,,완료,,,[로직 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 점액 효과(이동속도 감소 디버프) 로직 개발,,완료,,,[로직 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 피격 시 도망 로직 개발,,완료,,,[로직 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 점액 배출 주기적 로직 개발,,완료,,,[로직 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 점액 배출 사운드 및 이펙트 추가,,시작 전,,,[이펙트 및 사운드]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 제거 로직 구현,,완료,,,[로직 개발]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 Cry 상태 사운드 효과 추가,,시작 전,,,[이펙트 및 사운드]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 피격 사운드 추가,,시작 전,,,[이펙트 및 사운드]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 점액 효과 및 디버프 밸런스 조정,,시작 전,,,[밸런스 조정 및 QA]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 이동 및 스트레스 시스템 밸런스 조정,,시작 전,,,[밸런스 조정 및 QA]
무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md),무우 실제 플레이 환경 QA 진행 및 밸런스 최적화,,시작 전,,,[밸런스 조정 및 QA]
미니맵 탐사 영역 연동 (%E1%84%86%E1%85%B5%E1%84%82%E1%85%B5%E1%84%86%E1%85%A2%E1%86%B8%20%E1%84%90%E1%85%A1%E1%86%B7%E1%84%89%E1%85%A1%20%E1%84%8B%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%A7%E1%86%A8%20%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%201c5c47c7ac2d814c89ecf1bcd556e56c.md),미니맵 시스템 기본 구현,,완료,,,
미니맵 탐사 영역 연동 (%E1%84%86%E1%85%B5%E1%84%82%E1%85%B5%E1%84%86%E1%85%A2%E1%86%B8%20%E1%84%90%E1%85%A1%E1%86%B7%E1%84%89%E1%85%A1%20%E1%84%8B%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%A7%E1%86%A8%20%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%201c5c47c7ac2d814c89ecf1bcd556e56c.md),탐사 가능한 구역 및 미탐사 지역 시각화 처리,,시작 전,,,
미니맵 탐사 영역 연동 (%E1%84%86%E1%85%B5%E1%84%82%E1%85%B5%E1%84%86%E1%85%A2%E1%86%B8%20%E1%84%90%E1%85%A1%E1%86%B7%E1%84%89%E1%85%A1%20%E1%84%8B%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%A7%E1%86%A8%20%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%201c5c47c7ac2d814c89ecf1bcd556e56c.md),플레이어 이동에 따라 미니맵 영역 자동 해금 로직 구현,,완료,,,
미니맵 탐사 영역 연동 (%E1%84%86%E1%85%B5%E1%84%82%E1%85%B5%E1%84%86%E1%85%A2%E1%86%B8%20%E1%84%90%E1%85%A1%E1%86%B7%E1%84%89%E1%85%A1%20%E1%84%8B%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%A7%E1%86%A8%20%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%201c5c47c7ac2d814c89ecf1bcd556e56c.md),미니맵 UI 디자인 및 배치,,시작 전,,,
아이템 수집 및 관리 시스템 (%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%90%E1%85%A6%E1%86%B7%20%E1%84%89%E1%85%AE%E1%84%8C%E1%85%B5%E1%86%B8%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8132a968cc80b68c21db.md),크리처 잔해 및 아이템 획득 시스템 구현,,완료,,,
아이템 수집 및 관리 시스템 (%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%90%E1%85%A6%E1%86%B7%20%E1%84%89%E1%85%AE%E1%84%8C%E1%85%B5%E1%86%B8%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8132a968cc80b68c21db.md),아이템 수집 애니메이션 및 효과음 추가,,시작 전,,,
아이템 수집 및 관리 시스템 (%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%90%E1%85%A6%E1%86%B7%20%E1%84%89%E1%85%AE%E1%84%8C%E1%85%B5%E1%86%B8%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8132a968cc80b68c21db.md),획득한 아이템 인벤토리 관리 시스템 구현,,시작 전,,,
아이템 수집 및 관리 시스템 (%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%90%E1%85%A6%E1%86%B7%20%E1%84%89%E1%85%AE%E1%84%8C%E1%85%B5%E1%86%B8%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8132a968cc80b68c21db.md),아이템 인벤토리 UI 디자인 및 개발,,완료,,,
아이템 수집 및 관리 시스템 (%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%90%E1%85%A6%E1%86%B7%20%E1%84%89%E1%85%AE%E1%84%8C%E1%85%B5%E1%86%B8%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8132a968cc80b68c21db.md),아이템 스태킹,,BackLog,,세찬,[로직 개발]
상점 기본 시스템 (%E1%84%89%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%A5%E1%86%B7%20%E1%84%80%E1%85%B5%E1%84%87%E1%85%A9%E1%86%AB%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d81dc915bd3b2c3e9b9fa.md),상점 시스템 기본 구조 개발,,완료,,,
상점 기본 시스템 (%E1%84%89%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%A5%E1%86%B7%20%E1%84%80%E1%85%B5%E1%84%87%E1%85%A9%E1%86%AB%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d81dc915bd3b2c3e9b9fa.md),상점에서 아이템 판매 로직 구현,,완료,,,
상점 기본 시스템 (%E1%84%89%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%A5%E1%86%B7%20%E1%84%80%E1%85%B5%E1%84%87%E1%85%A9%E1%86%AB%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d81dc915bd3b2c3e9b9fa.md),아이템 가치 설정 및 경제 밸런스 조정,,시작 전,,,
상점 기본 시스템 (%E1%84%89%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%A5%E1%86%B7%20%E1%84%80%E1%85%B5%E1%84%87%E1%85%A9%E1%86%AB%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d81dc915bd3b2c3e9b9fa.md),상점 UI 디자인 및 구현,,완료,,,
상점 기본 시스템 (%E1%84%89%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%A5%E1%86%B7%20%E1%84%80%E1%85%B5%E1%84%87%E1%85%A9%E1%86%AB%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d81dc915bd3b2c3e9b9fa.md),상점 아이템 추가 및 삭제 기능 개발,,완료,,,
CCTV 설치 및 모니터링 (CCTV%20%E1%84%89%E1%85%A5%E1%86%AF%E1%84%8E%E1%85%B5%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%86%E1%85%A9%E1%84%82%E1%85%B5%E1%84%90%E1%85%A5%E1%84%85%E1%85%B5%E1%86%BC%201c5c47c7ac2d8128b0d1c3ffde13bc2a.md),CCTV 설치 및 모니터링 시스템 구현,,완료,,,
CCTV 설치 및 모니터링 (CCTV%20%E1%84%89%E1%85%A5%E1%86%AF%E1%84%8E%E1%85%B5%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%86%E1%85%A9%E1%84%82%E1%85%B5%E1%84%90%E1%85%A5%E1%84%85%E1%85%B5%E1%86%BC%201c5c47c7ac2d8128b0d1c3ffde13bc2a.md),CCTV 설치 위치 제한 및 관리 로직 구현,,시작 전,,,
CCTV 설치 및 모니터링 (CCTV%20%E1%84%89%E1%85%A5%E1%86%AF%E1%84%8E%E1%85%B5%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%86%E1%85%A9%E1%84%82%E1%85%B5%E1%84%90%E1%85%A5%E1%84%85%E1%85%B5%E1%86%BC%201c5c47c7ac2d8128b0d1c3ffde13bc2a.md),CCTV UI 및 모니터링 인터페이스 개발,,완료,,,
트랩 설치 및 원격 제어 시스템 (%E1%84%90%E1%85%B3%E1%84%85%E1%85%A2%E1%86%B8%20%E1%84%89%E1%85%A5%E1%86%AF%E1%84%8E%E1%85%B5%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%80%E1%85%A7%E1%86%A8%20%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%A5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8199b986f2a086afd9d8.md),트랩 설치 및 원격 활성화 시스템 구현,,시작 전,,,
CCTV 설치 및 모니터링 (CCTV%20%E1%84%89%E1%85%A5%E1%86%AF%E1%84%8E%E1%85%B5%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%86%E1%85%A9%E1%84%82%E1%85%B5%E1%84%90%E1%85%A5%E1%84%85%E1%85%B5%E1%86%BC%201c5c47c7ac2d8128b0d1c3ffde13bc2a.md),CCTV 카메라 전환 구현,,완료,,,
트랩 설치 및 원격 제어 시스템 (%E1%84%90%E1%85%B3%E1%84%85%E1%85%A2%E1%86%B8%20%E1%84%89%E1%85%A5%E1%86%AF%E1%84%8E%E1%85%B5%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%80%E1%85%A7%E1%86%A8%20%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%A5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8199b986f2a086afd9d8.md),트랩 설치 위치 제한 및 관리 로직 구현,,시작 전,,,
트랩 설치 및 원격 제어 시스템 (%E1%84%90%E1%85%B3%E1%84%85%E1%85%A2%E1%86%B8%20%E1%84%89%E1%85%A5%E1%86%AF%E1%84%8E%E1%85%B5%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%80%E1%85%A7%E1%86%A8%20%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%A5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8199b986f2a086afd9d8.md),트랩 활성화 시 이펙트 및 사운드 처리,,시작 전,,,
트랩 설치 및 원격 제어 시스템 (%E1%84%90%E1%85%B3%E1%84%85%E1%85%A2%E1%86%B8%20%E1%84%89%E1%85%A5%E1%86%AF%E1%84%8E%E1%85%B5%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%80%E1%85%A7%E1%86%A8%20%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%A5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8199b986f2a086afd9d8.md),트랩 원격 활성화 로직 구현,,시작 전,,,
트랩 설치 및 원격 제어 시스템 (%E1%84%90%E1%85%B3%E1%84%85%E1%85%A2%E1%86%B8%20%E1%84%89%E1%85%A5%E1%86%AF%E1%84%8E%E1%85%B5%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%80%E1%85%A7%E1%86%A8%20%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%A5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8199b986f2a086afd9d8.md),트랩 UI 및 인터페이스 디자인,,시작 전,,,
알 생성 및 파괴 시스템 (%E1%84%8B%E1%85%A1%E1%86%AF%20%E1%84%89%E1%85%A2%E1%86%BC%E1%84%89%E1%85%A5%E1%86%BC%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%91%E1%85%A1%E1%84%80%E1%85%AC%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d81898fe9f52e4071ff7c.md),크리처 알 생성 시스템 구현 (랜덤 위치 및 초기 불가파괴 상태),,시작 전,,,
알 생성 및 파괴 시스템 (%E1%84%8B%E1%85%A1%E1%86%AF%20%E1%84%89%E1%85%A2%E1%86%BC%E1%84%89%E1%85%A5%E1%86%BC%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%91%E1%85%A1%E1%84%80%E1%85%AC%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d81898fe9f52e4071ff7c.md),크리처 알이 파괴 가능한 상태로 전환되는 로직 개발,,시작 전,,,
알 생성 및 파괴 시스템 (%E1%84%8B%E1%85%A1%E1%86%AF%20%E1%84%89%E1%85%A2%E1%86%BC%E1%84%89%E1%85%A5%E1%86%BC%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%91%E1%85%A1%E1%84%80%E1%85%AC%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d81898fe9f52e4071ff7c.md),크리처 알 파괴 시 리워드(아이템/재화) 획득 시스템 구현,,시작 전,,,
알 생성 및 파괴 시스템 (%E1%84%8B%E1%85%A1%E1%86%AF%20%E1%84%89%E1%85%A2%E1%86%BC%E1%84%89%E1%85%A5%E1%86%BC%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%91%E1%85%A1%E1%84%80%E1%85%AC%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d81898fe9f52e4071ff7c.md),알 상태 시각적 효과 추가,,시작 전,,,
성체 크리처 성장 시스템 (%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8E%E1%85%A6%20%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%84%8E%E1%85%A5%20%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8C%E1%85%A1%E1%86%BC%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d816898cace1e016550d7.md),일정 시간 후 알이 성체 크리처로 성장하는 로직 구현,,시작 전,,,
알 생성 및 파괴 시스템 (%E1%84%8B%E1%85%A1%E1%86%AF%20%E1%84%89%E1%85%A2%E1%86%BC%E1%84%89%E1%85%A5%E1%86%BC%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%91%E1%85%A1%E1%84%80%E1%85%AC%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d81898fe9f52e4071ff7c.md),크리처 알 미니맵 표기 기능 개발,,시작 전,,,
